clean_text,Sentiment,label
Once heard that those are the first signs and symptoms to clinical depression its real thing believe it or not,Positive,1
This is why Love football one minute you are up there the next you are in depressionNow bring on Grealish and Foden and finish these Italians Cmon boys clappinghands,Positive,1
The hardest part in depression is wen my friends thought am okay kumbe was not the other weird part was cant tell them why ur going thru what r going thru Speak up Talk to someone Call 4 help thats the 1st step,Positive,1
Self medication through my depression,Positive,1
Tony Kibet is one energetic young man and all he wants is to inspire change Life was not always this colourful today he speaks to me about his dark days in alcohol addiction and relationship that sank him deep in depression,Positive,1
This week my girl ameniambia niko na signs za depression but dont we all have such,Positive,1
Utaachwa tuu na uyoo sponsor ushikwee na depression cryingfacedisappointedface ugonjekee heart attack alafu ukufee uwachee hiyoo mali tubenefit ,Negative,0
Debts brings depression and stress leading into ulcers high blood pressure death and also suicide brokenheartpensiveface,Negative,0
Debts are bad Brathy they bring depression and stress,Positive,1
Depression,Positive,1
Those are newspapers headlines mzee Bring us facts from any court Your boss was arrested for grabbing the late Adrian Muteshi s land Was fined 5m but disobeyed court orders The old man died from depression What aa shame defending confirmed thief,Negative,0
Intern pool za Nyayo house huwa depression tupu Jamaa amekuja tu kubangaiz no work no nothing Hata no working from home rollingonthefloorlaughing,Positive,1
Miss Morgan too had turned into an alcoholic Depression can be so bad swear,Positive,1
Sana btw ndo maana depression among young teens iko high,Positive,1
You have to be tough Kings because the streets are even tougher and nobody cares about your pitfalls depression or whatsoever,Positive,1
Huko utajiua bure na depression,Positive,1
Ukipata pesa ukiwa youngin plan for the future cause ukisota in your adult hood youll be cursing each day you wake up  Unapata mlevi anakushow venye alipiga sherehe back in the day sahii kitu ako nayo ni story na depression,Positive,1
For many years have struggled with depression and anxiety in silence have been in denial thinking it couldn’t happen to me mostly have always been afraid people wouldn’t believe me and they would think was fragile when win this war Ill tell my story,Positive,1
Smoked fish great source of omega3 fatty acidknown for providing health benefits including improved blood clotting amp vessel constriction reduced tissue inflammation relief from rheumatoid arthritis and reduced depression and mental decline in aging individuals A thread,Positive,1
Quit owning your disorders Quit saying shit like my depression or my anxiety Just say youre depressed or having bout of anxiety Dont you wanna heal Jessica,Negative,0
Depression is real,Positive,1
Salute to those people who can overcame their depression and anxiety How did you do that This thing is Uglymanfacepalming,Positive,1
Shit is hard enough without fame Problem is even among people who understand how debilitating diseases like alcoholism and depression can be its not obvious where to draw the line between the pathology and personal responsibility in the case of Omosh and many many others,Positive,1
Yup Shit is hard enough without fame Problem is even among people who understand that both depression and alcoholism are debilitating diseases its not obvious where to draw the line between the pathology and personal responsibility in the case of Omosh and many many others,Positive,1
My friend LG of Village Girl Travels went missing on the 25th of this month She had been battling depression and had been withdrawn for sometime She is mother of two Please help find her Retweet,Positive,1
Also much is being used in the rehabilitation centers so many youths have gone into depression due to luck of financing their drug addictionby this so many youths are not contributing to our economy youths play very crucial part in economy if we can,Positive,1
Testosterone is the “manly” hormone that controls facial hair deep voice muscle growth and even your sex drive Low levels of testosterone can become serious health problem leading to lowered energy depression low libido weight gain muscle loss brain fog and more,Positive,1
Wenye mnaenda vasha after event damages zisiwashtue cos we gat you We offer the following services Repair broken joints Treat back pains Heal depression Restore missed periods Silence noisy partners Send eagle and snake on cheating patners Halla us for more information facewithtearsofjoy,Negative,0
People don’t fake depression they fake being okay Always remember this and be kind to everyone,Positive,1
Depression doesn’t have face Depression is happy grinningfacewithbigeyes chilled laughing grinningsquintingface entertaining people and you’re dying inside  Take care of your mental health,Negative,0
Dont allow yourself drain to depression because of something you dont wanna share just because you are afraid of how people will judge you Talk to someone,Positive,1
Depression isn’t always dark rooms and endless crying Sometimes it’s getting up going to work smiling and laughing all day then coming home to sit quietly doing nothing until it’s time to go to bedmanfacepalming,Negative,0
My bro would be deep in depression,Positive,1
Doc Out here People are cracking under stress and depression God mercies,Positive,1
Proud to announce that the above photo was created by one of us at in attempt to express the feelings involved when one suffers from  At Oasis we support advocacy through all forms of  including Artistry and,Positive,1
You are not alone Reach out and are not just feelings Theyre mental health challenges that are manageable through the help of workers such as and,Negative,0
The youths in this country are silently suffering Depression in youths is going unnoticed and this is problem The youth in are no exception Time to act is now,Positive,1
Depression cryingfacecryingface Even medical professionals,Negative,0
dont like how these so called public figure behave when they have money flossing is their norm When they become poor its all about depression and the stuff We struggle hustle alot ups and down here but we still find way to survive Lets them stop double standards,Positive,1
A sure way to end stressful day is with chilled glass of kiwano thorn melon juice blended finely in pure sugarcane and lime Activate your feel good hormones and beat the feeling of depression Read more on kiwano Life is short take care of yourself No one else will,Positive,1
The husband is suffering from post partum depression,Positive,1
Physical activity can be an alternative treatment for depression as it can be used as standalone treatment or in combination with medication andor psychological therapy it also doesnt carry the stigma that the aforementioned do,Negative,0
In this world you will have troubles Some are dealing with depression Many are struggling with life Take heart GOD will never leave you nor forsake you Do not be afraid nor discouraged Our Good LORD is in control Blessed Day,Positive,1
Dear GOD Deliver me from all evils illnesses diseases depression anxiety and lack pray that today You will touch my life in very special way Give me the strength to overcome these stressful situation in my life Strengthens me amp will overcome trials times AMEN foldedhands,Positive,1
Me kitu huni letea depression ni kusota sasa if can afford an iPhone that means am rich,Positive,1
Uko na iphone na uko na depression sasa ajee,Positive,1
 “They say there are five stages of grief Denial anger bargaining depression and acceptance Well I’d like to add one morerevenge” Xo Xo Toy Toy Baby  Kill it with love  My Happy Place,Negative,0
Too much poop in your tummy will cause you fatigue stress and depression Flash your tummy with sugarcane tamarind juice or celery spinach in sugarcane juice Refresh and rejuvenate the natural way Visit us next to the Luke Hotel next to the Big Fish along Garden Estate Rd,Positive,1
nothing big but have stopped chasing women on texts and whatsapp had depression and anxiety in January because didnt know what want now know my purpose and have planned to move from my mums house this October Im Gerald,Positive,1
Depression is real Saw his IG His friends should fly there asap,Positive,1
Research has shown that girls who practices un protective sex have few chances of going into depression,Positive,1
Research has shown girls who practices un protective sex have few chances of developing depression ,Positive,1
Kindly help others who have gone through trauma and depression by sharing connecting them with therapist,Positive,1
Meghan Markle amp Naomi Osaka are women of color who are at the peak of human social strata amp both have complained of depression wrought on them by the media Instead of embracing them Britain allows racewhistlers like Piers Morgan to poohPooh their mental anguish Has to stop,Positive,1
If my depression wins need you to tell my family that fought with everything within me,Positive,1
Nalala late keo ju ya depression ama happiness No in between,Positive,1
Young doctors will surely sink into depressionalcoholism and other mental health crisis owing to this blatant move that will shatter so many dreams,Positive,1
A Prayer for Depression Prayer God bless all who are battling those inner demons of depression loneliness unworthiness and hopelessness Shine Your warm Heavenly Light down upon all of us Lord who are looking for our soul mates Guide us to find peace and happiness AMEN,Negative,0
We are living in generation where people are quick to spot fake sneakers but cant spot fake smile on friend dying with depression or battling anxiety its sad,Negative,0
Experts warn that children in the besieged coastal strip will likely carry the mental scars for years to come Psychologists say many are showing signs of depression anxiety behavioural disorders or irritability,Positive,1
Shida ya depression hua haijichori kwa face until ujipate kwa Keja uko solo,Positive,1
can have profound and lifelong impact on the mental health of survivors who are at increased risk of depression anxiety and posttraumatic stress disorder Read more,Positive,1
They are coming for you Just make sure you are offline to avoid depression and high blood pressure,Positive,1
Ive never come across documentary on postgraduate depression any links,Positive,1
Tag me along threads za depression please,Positive,1
Post Partum Depression is kicking Maddies ass and dont like it,Negative,0
Did you know that exercise can also boost your mood improve your sleep and help you deal with depression anxiety stress rare photo of Secretary Youth Affairs Ministry of ICT Innovation and Youth and Mr David Momanyi testing the gym equipment at our office backhandindexpointingdown,Positive,1
He has spared you death from Covid and depression,Positive,1
impact mood and are linked to some moodrelated disorders such as depression and anxietyEatingdrinking mineralrich foods like kiwano melon certainly can’t hurt you are better managing the situation Now know Find us nxt to Roasters Inn same compound with the Big Fish,Positive,1
Today on  we are covering depression and anxiety If this is topic that speaks to you or if you want to educate yourself about this tune in to 999 Shepherd Radio or watch us live on Facebook at 999 Shepherd Radio,Positive,1
Today on  we are covering depression and anxiety If this is topic that speaks to you or if you want to educate yourself about this tune in to 999 Shepherd Radio or watch us live on Facebook at 999 Shepherd Radio,Positive,1
Throw in culture and its even worse The things my people will say or do No one will remember the people helped out of depression or the kids in the team Wataniita Senior Omusumba Senior Bachelor,Positive,1
I lost my friend today to depression he committed suicide by hanging himself after he lost his job and he was breadwinner Its sadbrokenheart,Negative,0
Are you struggling with depression you are not alone Find someone close or professional to support you through it  Nairobi Kenya,Negative,0
Never mature from what brings smile on your face everytime just because depressed people hate what you do facewithtearsofjoy facewithtearsofjoy Meanwhile loud music roadtrips and hitting the limiter cures depression,Negative,0
The five stages of grief are denial anger bargaining depression acceptance,Positive,1
City trees can help reduce stress and depression  study via,Positive,1
Research has shown that cluttered home can also mean clutter in our minds If the mess gets out of hand it could lead to physical and mental health issues Organize your space now with customizable wardrobe solutions,Positive,1
Depression nayo huwezi nipatia ukiniambia harder na scream tighter,Positive,1
The universe has an interesting way of pointing you to what to watch Today it directed me to Depression and Spiritual awakening And the speaker has this interesting concept that depression does not have to necessarily be the disease but as prompt towards spiritual awakening,Positive,1
facewithtearsofjoyfacewithtearsofjoy mombasa road traffic is on another level That traffic can lead someone into depression,Positive,1
Guys under depression Worked on my weight from 133kkgs to 94kgs Im trying to live healthy life and slowly getting back on my feet God is good,Positive,1
was recommended to see psychiatrist whom Im told passed away last month in India He is the one who told me one word that never thought would be mentioned to me DEPRESSION,Positive,1
It is mental health awareness monthnormalize positive vibesSpeak out your feelings and Reach out your friendshundredpointshundredpointsDont miss out this Sunday at 4pm as we learn how to overcome depression during this hard timesfoldedhandsfoldedhands,Positive,1
I cant get post portem depression already had it with my first child You cant get it twice Its like chicken pox Frankie Thats for sure not true Frankie  Danny television,Positive,1
If you feel empty emotionless or sad downcastfacewithsweat after pregnancy you need help its postpartum depression This week on will be hosting the Wellness Doctor to discuss postpartum depression Tune in this Tuesday at 730 pm,Negative,0
The chronic illnessessubsequent deaths loss of livelihoods and economic depression fear that for those of us who will be around next Easter will be talking of another lockdown for the umpteenth wave,Negative,0
Alafu hii threat ya wadosi saa yote kushida wakisema hapa Kuna watu watasimamishwa kazi should stop stopsignprohibited Hii inaongezeanga employee stress and depression coz you dont know kama ni wewe ama radar ni Gani,Positive,1
Alafu hii threat ya wadosi saa yote kushida wakisema hapa Kuna watu watasimamishwa kazi should stop stopsignprohibited Hii inaongezeanga employee stress and depression coz you dont know kama ni wewe ama radar ni Gani,Positive,1
Life after ParliamentSenate We need to engage our MPs and Senators on this Many wont make it back to the August Houses and the resultant gravy train they ride while there and will most probably slide into depression,Positive,1
Covid19 disrupted the economy and streams of income for most young peopleThis has since increased stress levels leading to depression due to loss of jobs and livelihoods,Positive,1
Not to dismiss depression but most of yall are not depressed Rather youre •jealous  envious of others •bored  lack of purpose •broke  lazy to hustle Good Morning smilingfacewithsunglasses,Negative,0
Listening music will cause you depression and forgetfulness,Positive,1
Accepting this journey of life and running it on my own pace Clearing my mind and healing from depression And knowing thyself Finding new passions in Tech and Football,Positive,1
Why kill yourselfwhy are you Dying of depression asking these Days prophets are EverywhereI cant Differentiate the TRUE PROPHET of GOD and false prophet sent by DEVIL Deut182122I saidlet this SUN be WITNESS in less than four hours laterlook the SUN,Negative,0
I have told youdont DIE of depression thinkinghow do knowThe TRUE PROPHETand the false prophetits very simplejust check the STRIPESMARKS Biblesaysyou will know them by their fruitsFRUITS of the TRUE PROPHEThis Words are FULFILED to the letter Deut182122,Negative,0
Sent young boys into depression when they were trying their best,Positive,1
“Peace Be still” Mark 439 No matter the storm the peace of God will locate you pray for peace around my friends who are battling fear anxiety and depression pray all fear and anxiety be broken Thank you for your peace that is surrounding them Amen,Negative,0
Sometimes you think uko solo yet there is someone who has gone ahead and has an experience in handling depression and the like It really changed my life,Positive,1
Yes And my dad shared his battle with depression story with me and it changed my outlook of life and everything,Positive,1
A5 First stress cause PTSD Evidence suggests that the key link between occupation and mental illness is high stress which can increase the risk of PTSD anxiety depression and mood and sleep disturbances,Positive,1
One in every 10 people suffer from common mental disorder in KE Depression and anxiety disorders are the leading mental illnesses diagnosed in Kenya followed by substance use disorders Youre not alone in this journey Professional help is available DM us,Negative,0
Reduced productivity Increased anxiety burnout depression Unhealthy behaviours such as cigarette smoking and drugs and substance use Low self esteem,Positive,1
A4b Stress can cause several serious problems to our body and mind Over time continued strain on your body from stress may contribute to serious illness Eg heart disease high blood pressure diabetes and mental disorders such as depression or anxiety,Positive,1
Ages between 2129 is phase of hustle suffering and smiling toiling depression overthinking wondering whether youll achieve your goals and make it in life 90s babies hope yall alright It will be okay someday Hang in there Dont lose hoperoseroserose,Positive,1
Paid partnership with depression,Positive,1
what is post partum depression,Positive,1
How can mother overcome postpartum depression,Positive,1
Mental health is real Depression is real Suicide is real brokenheartbrokenheart Speaks,Negative,0
Mental health is real Depression is real Suicide is real brokenheartbrokenheart Speaks,Negative,0
Mental health is real Depression is real Suicide is real brokenheartbrokenheart Speaks,Negative,0
kweli boss hapo ni stress na depression inafuatanga,Positive,1
Not as must start living like its rather do watch your depression go down,Positive,1
Benga musician Queen Jane real name Jane Nyambura died from depression her sisters Lady Wanja and Princess Aggie have said  By,Negative,0
The night is here we all choose what keeps us awake Stress Anxiety Insomnia Depression Happy moments We all have reasons Whichever it is may the daybreak May the sun rise again If today wasnt your day We will try again tomorrowfoldedhands,Positive,1
Clinical depression is mental condition marked by changes in mood thought and behaviour,Positive,1
depression is real even though we deny it in most times Seeking help makes such great change Asante pia Mwenja remember 2 years back,Positive,1
its fact that more people will die from starvation amp mental issues than they will from Covid Anxiety depression amp frustration defines Kenyans today,Negative,0
Lewis Hamilton akona depression,Positive,1
I blame my current depression to Why did you make me fall in love with Tottenham Its heartache after heartache every week loudlycryingfaceloudlycryingfaceloudlycryingfaceloudlycryingface,Negative,0
Depression is real,Positive,1
The lack of control is what has resulted to domestic violencedepression amp suicide Lack of control of what life was pre Covid19 where r taken back to default settings where were starting up struggling 2 survive  Covid has taken us back amp it’s very unfamiliar territory,Negative,0
Chuck Norris was riding bike and he fell to the ground The ground had to apologize to Chuck Norris The depression he left is now Pacific Ocean,Positive,1
Businesses are collapsing Lifes getting more expensive  Depression kicking in Also notice how people are dying right left and Centre What is this life surely,Negative,0
but schools will reopen on may 10ththinkingfacewow love the thinking here so the rates are yet to flatten lets not give up meanwhile make decisions when not informing kenyans because everyday depression cuts deeper,Positive,1
Some may lead one into depression or death,Positive,1
Kenyans are suffering quietly Others dying of depression after losing their livelihoods Uhuru should just go,Negative,0
There are so many negative impacts of abortion let them not lie to you Post abortion depression can kill one,Negative,0
Depression is real It is not weakness,Positive,1
Does Tiktok pay see people are dancing allover Or could be sign of shaking depression,Positive,1
Last week loved one was hospitalised went scaredI couldnt sleep anytime closed my eyes got nightmares and woke up cryingthey are out of hospital now am still not able to sleep2019 Oct was diagnosed with severe depression too,Negative,0
Sometimeswomen are the main cause of depression for our peacesometimes,Positive,1
Mental health is Real Depression is real Suicide is Real brokenheartbrokenheart Check on the people you love and stay informed In my second episode on Mental Health learn,Negative,0
umefanya poa mjamaa lakini bado tunaumia Umetufungia mabiz Tutagenya na unenge stress na depression Tambua shida za maskini Tembea ground ujue vile raiyaa inaishi sabu hizi restrictions ulieka zinaonyesha uko clueless Life imekua hard msee,Positive,1
The worst feeling is whenyou finally get over your depressionyou fall in Love again redheart and they break your heart again brokenheartwho do you trust When will it ever end dove,Positive,1
facewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoykama ni wewe acha nikufe depression facewithtearsofjoybrokenheart,Positive,1
A time is coming and now is Refer to Isaiah 4  1 The Boychild is lately under siege The society has thrown deaf ear to the mental and physical torture we undergo To maintain the manhood were supposed to suffer in silence and stay strong,Positive,1
Depression man,Positive,1
Help is always available For depression treatment and management anxiety drug addictionamonv other call us 9n 0740807939 Email infojabaliwellcom,Positive,1
Sadly theres too much depression in Kenya Our society is mentally bleeding,Negative,0
Watu wako njaa no money so depression is taking the better part of them Mnataka watukimbize whole night and day na hawajakularollingonthefloorlaughingrollingonthefloorlaughingrollingonthefloorlaughing,Positive,1
Depressionfear for livelihoods is killing more than what COVID19 has done,Negative,0
Depression desperation and anxiety that is the result of unemployment starvation and locked up in the house,Positive,1
Depression desperation and anxiety,Positive,1
Eh Agency life is pure comedy blended with depression and anxiety want out,Positive,1
Here 1 We are lead by “science “ 2 Businesses are closing 3 Corona donations stolen 4 Lockdown 5 Curfews 6 High cost of living 7 Lost jobs 8 Commercialization of pandemic 9 Vaccines scandal loading 10 No social gatherings 11 Depression on the rise,Positive,1
JESUS CHRIST said IT IS FINISHED to all the heartbreak IT IS FINISHED to all the sickness IT IS FINISHED to all the pain IT IS FINISHED to all betrayal IT IS FINISHED to all the worry about school fees food rent clothing to all the loneliness despair depression,Negative,0
We cant sweep mental struggles depression more darker thoughts under the carpet The stigma needs to be addressed This is world wide massive alarming issueserious matter It will just get worse social media pressure and distorted media narratives how life should be,Positive,1
will see many Kenyans die of hunger depression or burglary Lets highlight the African Racism before we cross the border No death is better than the other death is death and we should do everything to prevent it,Negative,0
Many people battling severe depression and any jokes online can trigger suicidal tendencies,Positive,1
Ten years ago after the twin deaths of my dad and sis was TOTAL wreck sunk into depression amp hit rock bottom became an alcoholic LOST everything personinbed on this streets amp rescued me Here’s why the ONLY Curfew to be lifted is rightarrowcurvingdown,Positive,1
High fuel costs another hurdle in the industrys growth There has never been cushion from government since covid19 pandemic arose year ago Depression high as thousands have been rendered jobless Were also Kenyans amp tax payers too,Positive,1
Said many times that depression and suicide is consuming more lives that all ailments combined,Negative,0
Ama this lockdown is to ensure that the poor can join the rich in death because of hunger and suicide as result of depression,Negative,0
Hii serikali imeingiza watu wengi kwa depression Imagine this is our brother mentor father and role model what about wale wasanii chipukizi na limbukeni Kenya is rotten,Positive,1
Depression is killing very fast,Negative,0
Unapata peace of mind juu ya kutoka work place una sota savings zinaisha Unapata depression sasa double Juu huna kazi na huna pesa na huna hata support system,Positive,1
Good morning World Depression is real Check on your people Stay safe,Positive,1
A lot of Kenyans don’t even have the time to mourn the loss of livelihoods businesses or dreams because they’re facing imminent eviction hunger and depression The ripple effect of bad governance will be felt for generations to come,Positive,1
hundredpointsin concurrence Disrupting people’s livelihoods will expose more people to the risk of contracting the virus more as they sort alternative means to survive Mental health will also be on the rise and depression will kill many innocent lives,Negative,0
There Are Two Things Involved in this habits Team Screenshot Gang Share private convo or biz deals Share Private bustsinsilhouette bio data Share Confidential info Revenge Porn Blackmail Do we know the grief trauma amp depression on this TL brokenheart,Positive,1
Sometimes men choose to die like man which is not good If you have problem speak out in order to avoid stress depression domestic violence and it can lead to suicidal especially hii time tuko saa hii Things are really tough,Negative,0
Sometimes men choose to die like a man which is not good If you have problem speak out in order to avoid stress depression domestic violence and it can lead to suicidal especially hii time tuko saa hii Things are really tough,Negative,0
Hii ni gori Sana Kwanza hustle zimefungua curfew has been reversed for 10pm 8pm Watoi wako kwa keja na ni lazima wa kule This is definitely going to result to stress depression and domestic violence Kitengela tuko locd,Positive,1
Needed to ask grimacingfacegrimacingfacemanfacepalminglightskintonegrinningfacewithsweat backhandindexpointingrightlightskintone Nani amechukua 2Bn ya leo backhandindexpointingrightlightskintone COVID19 millionaires walishikwa backhandindexpointingrightlightskintone Wapi stimulus package or tax relief for Kenyans or you’ll let them die of depression  starvation backhandindexpointingrightlightskintone Priorities za Kenya Kenya ni gani backhandindexpointingrightlightskintone Pesa ya Eurobond iko wapi thinkingfacethinkingfacethinkingfacethinkingfacethinkingfacethinkingface,Negative,0
Needed to ask grimacingfacegrimacingfacemanfacepalminglightskintonefacewithtearsofjoy backhandindexpointingrightlightskintone Nani amechukua 2Bn ya leo backhandindexpointingrightlightskintone COVID19 millionaires walishikwa backhandindexpointingrightlightskintone Wapi stimulus package or tax relief for Kenyans or you’ll let them die of depression  starvation backhandindexpointingrightlightskintone Priorities za Kenya Kenya ni gani backhandindexpointingrightlightskintone Pesa ya Eurobond iko wapi thinkingfacethinkingfacethinkingfacethinkingfacethinkingfacethinkingface,Negative,0
So true the laughable the memes are it shows equivalent amount of depression stress confusion gloomy souls behind the smiles,Positive,1
Adriano THE EMPEROR was on his way to become goat in football until his fathers death threw him into depression pleadingfacepleadingface,Positive,1
David last niliskia about him alikuwa under bad depression,Positive,1
Please watch this Psilocybin thats found in shrooms has been used for ages to help people with depression,Positive,1
Many will not understand how someone can move from being Doctor to community volunteer and fashion brand Depression of watching people full of life in one minute and the other theyre no more ,Positive,1
Our Generation has had no Great war no great depression Our war is spiritual Our depression is our lives WELL Thats depressing,Positive,1
Nimechapa sherehe siku mbili mfululizo sai financial status yangu ni ka ya USA after the Great Depression of 1929,Positive,1
Nobody talks about the depression that forex can give youloudlycryingface,Negative,0
Kindly shughulikieni hii maneno ya student loan fund They are sincerely starving of hunger and you really know when depression hits The aftermaths arent good at all Please in your hounor do something,Positive,1
I shared my mental health journey with on please tune in tonight at 8pm on,Positive,1
And that shit is sending thousands of them to early graves through suicide out of depression and stress,Negative,0
Depression is the 2nd leading cause of premature deaths worldwide amp your hormones could be the reason you are depressed amp emotionally unstable Were on for YouTube conversation you dont want to miss,Negative,0
Occupational Therapy OT is one of the services offered Hospital Learn more on OT here OT for,Positive,1
Talk to professional therapist today Call us on 0740 807939 or 0757 480261 Email us through infojabaliwellcom for any queries regarding to addiction anxiety and depression treatment,Positive,1
Its like some business people decided to rather make some Kenyans to be drunkards and see tomorrow than die of economy depression,Negative,0
Ill treat hiyo depression yako kumbaf Nikama umehepa hadi watoi wako ghasia,Positive,1
Depression inafanya young bluds wa snuff their lives siiett,Positive,1
Kufuatilia married couples ma channel zao za YouTube huwaga kazi ngumu No wonder women who worship those channel couples suffer from depression,Positive,1
offer advanced Addiction Counseling Mental Health Therapy amp Wellness Recovery We do diagnosis and treatment for the following eating disorders trauma anxiety depression anger management chronic stress feelings of hopelessness and mood disorders,Negative,0
Nilihepa ukofacewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoyI nearly got depression facewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoy Acha nishinde kiss,Positive,1
The story of an alumni of on the need to take mental health seriously and how he overcame depression inspires most of us out here Reconnect with fellow alumni on,Positive,1
My cousin lost fav brother last year then she lost moneyhuge sum to conmen then family wrangles On Sat she lost her mind went bananas she’s been hospitalized since then diagnosed with acute depression Stress if not attended to builds amp it manifests dangerously,Positive,1
Jana nimeingia na Kevoo kwangu tukapiga sherehe nikalewa kweli kweli Asubuhi after yee kwenda nimeamka nikapata hii kando yanguloudlycryingface,Negative,0
Talk to someone depression is real Comrades foldedhands,Positive,1
Our parents were never told it’s depression they know it as “this is life it happens suck it up you gotta go through it and most dangerous oneman up womanfacepalmingmediumskintone Asking for help is seen as downgradingsomething low whereas it takes courage to ask for help,Positive,1
As we lets remember those Jobless Young Brothers and sisters Who are struggling with Depression,Positive,1
Empowering women is key to building future we joined the Director of Salute Mama in making mom happy by creating awareness on pregnancy complications amp postpartum depressionKahuhia in WanguKiharu Constituency,Positive,1
Everytime see something about depression remember my boy hope he found peacedovedovedovedove,Positive,1
She healed from depression escaped attempted murder God saved her from attempted gang rape and soon shes breaking family educational historywhat else can she say apart from thanking God for always making her priority,Positive,1
Today talked to someone and apparently she said shes falling into depression loudlycryingfaceloudlycryingface,Negative,0
mattersThe best gift you can give to your self your family and the worldbecause by the time depression sets in it will be stories of I wish knew,Positive,1
Call 0800722022 on matters overcoming postpartum depression,Positive,1
Mtu alitumia mwakenya high school akaitwa afanye engineering saa hizo aptitude test yake labda afanye welding ndiyo anashikwa na depression campo hahaha,Positive,1
There are so many misconceptions and myths about depression Depression is well established condition that causes both emotional and physical symptoms It is diagnosable condition not specific emotion or feeling,Positive,1
Even if we let fear insecurity intimidation cause us to shrink back God says That’s no problem for Me Fear can’t keep Me out depression can’t stop what have for you limited thinking can’t hold Me back Good morning,Negative,0
Im so sorry Devastating Depression is real and the stigma must be removed so everyone feel comfortable of addressing it RIP and tons of love and prayers to you and the family,Positive,1
Whatever you do as man never have entanglement ina mtoi na this lawyer women facewithtearsofjoyfacewithtearsofjoyfacewithtearsofjoy aaah youll never know peace Depression is real na hizo mental issues zao youll be drained,Positive,1
Aaaa exactly another point Sipendi kujiletea depression rollingonthefloorlaughingrollingonthefloorlaughingrollingonthefloorlaughingrollingonthefloorlaughingHiyo pesa ata kutumua unatumia na woga Sana becos,Positive,1
Lol Depression,Positive,1
I cant believe we are going to lose 5 games in row Hii weekend imenipiga depression back to back,Positive,1
Ole leading United fans do depression,Positive,1
Yawa post martum depression,Positive,1
7mins za depression,Positive,1
Hot discussion on Toxic masculinity amp depressionfirefirefire Are men clothing their depression in the name of masculinity Men are hiding their depression behind memescryingfacecryingface guess something need to be done checkmarkbutton,Negative,0
My gurl taking the lead on this sensitive topic centered around Toxic masculinity and depression matter that needs more light,Positive,1
Being young person living with HIVAIDS is not just walk in path as may portray it It comes with lot of challenges stigma and discrimination which ultimately subjects one to lot of stress leading to depression cryingface But wont allow that to myself im too preciousgrowingheart,Negative,0
I always have big issue with My anxiety My depression Mental health challenges are not an identity,Positive,1
Happy people in 2017 can get depression in 2020 Baba was so inntje past now he is not How hard is that to understand,Positive,1
Understandable Japanese suicides are due to depression and they are waaay tooo many,Negative,0
Hes on the depression level 1 of worries,Positive,1
The youth thirsting for overnight success is one of the causes of depression person sees colleague who they schooled with making progress and they get jittery,Positive,1
When was sending my mum the good news of landing job finally since last year March when Corona came in promised to take care of her She was jovial Now didnt even know how to tell her was sacked It would kill her and put her into depression again,Negative,0
Kotwhat is Depressionis it keeping quitisolating self from othersmuch angersHatesand inability to share or expless yourself from close friendsfamily or neighbors ,Positive,1
Na uko na exam by 8 ile hukusomea poa au boss mbaya mtiaji hapa unapatwa na unusual serious deformed unheadoff kinda complicated depression,Positive,1
